Category: All categories

Week,smite moba: (United States),lol moba: (United States),defense of the ancients: (United States)
2020-03-08,0,0,42
2020-03-15,0,0,42
2020-03-22,41,41,41
2020-03-29,40,0,79
2020-04-05,0,41,0
2020-04-12,39,78,0
2020-04-19,0,0,0
2020-04-26,78,39,39
2020-05-03,39,0,0
2020-05-10,0,40,0
2020-05-17,80,81,0
2020-05-24,0,84,0
2020-05-31,80,0,0
2020-06-07,41,41,82
2020-06-14,0,86,0
2020-06-21,85,43,0
2020-06-28,88,44,0
2020-07-05,0,88,0
2020-07-12,44,44,0
2020-07-19,0,45,0
2020-07-26,0,0,0
2020-08-02,0,44,0
2020-08-09,0,88,0
2020-08-16,87,0,44
2020-08-23,0,42,0
2020-08-30,0,42,0
2020-09-06,0,42,84
2020-09-13,80,40,0
2020-09-20,0,0,0
2020-09-27,0,45,44
2020-10-04,91,46,0
2020-10-11,0,49,49
2020-10-18,50,100,50
2020-10-25,0,0,0
2020-11-01,0,0,0
2020-11-08,0,47,0
2020-11-15,97,0,49
2020-11-22,0,0,0
2020-11-29,47,0,0
2020-12-06,48,0,0
2020-12-13,48,0,0
2020-12-20,0,52,0
2020-12-27,0,0,99
2021-01-03,0,0,0
2021-01-10,0,93,0
2021-01-17,93,0,0
2021-01-24,0,0,0
2021-01-31,0,0,0
2021-02-07,47,0,0
2021-02-14,49,0,49
2021-02-21,48,0,0
2021-02-28,0,0,0
