Category: All categories

Week,manx: (United States),bobtail: (United States),sphynx cat: (United States)
2020-03-08,28,22,54
2020-03-15,36,34,53
2020-03-22,26,18,80
2020-03-29,35,23,55
2020-04-05,38,28,82
2020-04-12,59,34,83
2020-04-19,57,37,88
2020-04-26,41,28,74
2020-05-03,47,27,76
2020-05-10,46,31,75
2020-05-17,22,28,77
2020-05-24,55,29,62
2020-05-31,43,27,60
2020-06-07,43,34,75
2020-06-14,48,23,60
2020-06-21,44,29,77
2020-06-28,61,37,53
2020-07-05,48,24,52
2020-07-12,41,37,66
2020-07-19,31,35,61
2020-07-26,49,23,88
2020-08-02,46,26,70
2020-08-09,41,34,68
2020-08-16,34,31,56
2020-08-23,45,27,59
2020-08-30,43,28,70
2020-09-06,41,30,60
2020-09-13,31,23,64
2020-09-20,37,27,64
2020-09-27,35,33,48
2020-10-04,34,28,66
2020-10-11,43,32,69
2020-10-18,48,33,57
2020-10-25,43,23,46
2020-11-01,38,16,43
2020-11-08,59,31,71
2020-11-15,33,27,70
2020-11-22,43,28,78
2020-11-29,34,31,67
2020-12-06,39,36,67
2020-12-13,44,32,66
2020-12-20,61,31,61
2020-12-27,40,29,80
2021-01-03,32,29,62
2021-01-10,26,26,74
2021-01-17,32,29,100
2021-01-24,41,29,60
2021-01-31,32,27,79
2021-02-07,36,30,55
2021-02-14,31,22,60
2021-02-21,56,32,62
2021-02-28,87,40,56
